Season,Tank,Deployment,Retrieval,Initial,Final,Diameter,Initials,Notes
Spring,U13,13.05.24 17:20,23.05.24 10:02,57.338,58.124,51,JVM,
Spring,U13,13.05.24 17:20,23.05.24 10:02,46.943,46.697,49.56,JVM,
Spring,U13,13.05.24 17:20,23.05.24 10:02,48.785,49.167,52.27,JVM,
Spring,U13,13.05.24 17:20,23.05.24 10:02,42.865,43.181,47.6,JVM,
Spring,U13,13.05.24 17:20,23.05.24 10:02,47.916,47.922,49.75,JVM,
Spring,U14,13.05.24 17:23,23.05.24 10:05,64.455,64.065,53.27,JVM,
Spring,U14,13.05.24 17:23,23.05.24 10:05,57.934,57.441,52.89,JVM,
Spring,U14,13.05.24 17:23,23.05.24 10:05,57.517,56.397,52.49,JVM,
Spring,U14,13.05.24 17:23,23.05.24 10:05,59.335,58.049,52.41,JVM,
Spring,U14,13.05.24 17:23,23.05.24 10:05,72.979,70.649,56.3,JVM,
Spring,U15,13.05.24 17:25,23.05.24 10:09,53.157,47.94,50.61,JVM,
Spring,U15,13.05.24 17:25,23.05.24 10:09,56.724,52.855,52.29,JVM,
Spring,U15,13.05.24 17:25,23.05.24 10:09,38.144,37.645,47.17,JVM,
Spring,U15,13.05.24 17:25,23.05.24 10:09,48.624,47.9,49.14,JVM,
Spring,U15,13.05.24 17:25,23.05.24 10:09,57.132,55.688,51.51,JVM,
Summer,U1,09.08.24 11:49,21.08.24 10:19,64.807,64.305,56.810,AR,
Summer,U1,09.08.24 11:49,21.08.24 10:19,38.066,38.680,36.070,AR,
Summer,U1,09.08.24 11:49,21.08.24 10:19,74.393,74.669,57.950,AR,
Summer,U1,09.08.24 11:49,21.08.24 10:19,69.389,69.825,56.370,AR,
Summer,U1,09.08.24 11:49,21.08.24 10:19,40.397,40.197,46.070,AR,
Summer,U2,09.08.24 11:57,21.08.24 10:46,59.732,59.255,51.610,AR,
Summer,U2,09.08.24 11:57,21.08.24 10:46,68.014,67.152,52.520,AR,
Summer,U2,09.08.24 11:57,21.08.24 10:46,45.879,45.917,49.420,AR,
Summer,U2,09.08.24 11:57,21.08.24 10:46,46.593,46.443,48.800,AR,
Summer,U2,09.08.24 11:57,21.08.24 10:46,49.116,49.488,52.060,AR,
Summer,U3,09.08.24 12:03,21.08.24 11:15,66.349,72.073,53.300,AR,
Summer,U3,09.08.24 12:03,21.08.24 11:15,63.854,62.209,55.500,AR,
Summer,U3,09.08.24 12:03,21.08.24 11:15,64.977,67.071,55.900,AR,
Summer,U3,09.08.24 12:03,21.08.24 11:15,58.098,58.275,52.400,AR,
Summer,U3,09.08.24 12:03,21.08.24 11:15,59.156,59.271,51.820,AR,
Summer,U4,09.08.24 12:13,21.08.24 11:44,48.387,NA,48.810,AR,dead
Summer,U4,09.08.24 12:13,21.08.24 11:44,46.922,47.356,48.670,AR,
Summer,U4,09.08.24 12:13,21.08.24 11:44,44.171,44.905,49.900,AR,
Summer,U4,09.08.24 12:13,21.08.24 11:44,68.152,66.931,54.010,AR,
Summer,U4,09.08.24 12:13,21.08.24 11:44,74.749,75.280,54.800,AR,
Summer,U5,09.08.24 12:18,21.08.24 13:15,46.895,45.851,47.690,AR,
Summer,U5,09.08.24 12:18,21.08.24 13:15,62.062,61.362,51.920,AR,
Summer,U5,09.08.24 12:18,21.08.24 13:15,55.207,56.305,54.480,AR,
Summer,U5,09.08.24 12:18,21.08.24 13:15,40.570,40.508,46.160,AR,
Summer,U5,09.08.24 12:18,21.08.24 13:15,77.304,77.015,57.010,AR,
Summer,U6,09.08.24 12:27,19.08.24 09:14,47.835,47.167,49.220,AR,
Summer,U6,09.08.24 12:27,19.08.24 09:14,53.064,53.900,51.820,AR,
