Reference,DOI,Location,Season,Urchin,Plant,Unit,Consumption_mean,Consumption_sd,Consumption_n,Defecation_mean,Defecation_sd,Defecation_n,Absorption_mean,Absorption_sd,Absorption_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.53317502,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.42402098,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.59723484,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.92030698,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.66604755,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.97279379,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.60222757,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.66929371,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.68045327,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.80364499,NA,1,Figure 3,organic dry mass only but not Conover ratio
