Type,Type2,Run,RunRep,No,start,stop,drop length (m),Comment,Sinking time (s),Speed m/s,WW (g),WW2 (g),Area (mm2),Length (mm),Width (mm),vol ml,Vol (mm3),Density (kg/m3),note
Stipe,Stipe,3,3,5,1.11,1.16,0.8,,5,0.16,467,,25656,1065.2,,440,440000,1061.363636,
Stipe,Stipe,3,3,6,1.19,1.22,0.6,,3,0.2,429,,19705.6,1018,,280,280000,1532.142857,
Stipe,Stipe,3,3,7,1.28,1.31,0.5,,3,0.166666667,368,,24000,1004,,500,500000,736,
Stipe,Stipe,3,3,8,1.33,1.36,0.5,,3,0.166666667,390,,23480,984,,495,495000,787.8787879,
Stipe,Stipe,3,3,9,1.38,1.41,0.5,,3,0.166666667,407,,22728,1034,,380,380000,1071.052632,
Stipe,Stipe,3,3,10,1.45,1.5,1,,5,0.2,407,,20428,966,,490,490000,830.6122449,
Fragment,Blade frag L,1,1,1,1.12,1.16,0.3,,4,0.075,79.55658132,34.387457,35571.457,531.43,130.311,,46242.8941,1695.991028,ww2 is conversion using area to ww relationship
Fragment,Blade frag L,1,1,2,1.41,1.45,0.3,,4,0.075,12.13099381,4.240028,5424.028,144.361,56.199,,7051.2364,1371.424634,1178.146404
Fragment,Blade frag L,1,1,3,1.45,1.51,0.3,,6,0.05,22.72619473,8.97737,10161.37,293.639,64.629,,13209.781,1549.965401,
Fragment,Blade frag L,1,1,4,2.19,2.27,0.3,,8,0.0375,65.72037758,28.200993,29384.993,462.938,164.03,,38200.4909,1683.69706,
Fragment,Blade frag L,1,1,6,2.56,3.07,0.3,,11,0.027272727,14.10991905,5.124848,6308.848,136.985,67.439,,8201.5024,1425.135207,
Fragment,Blade frag L,1,1,9,4.09,4.13,0.3,,4,0.075,6.693084725,1.808622,2992.622,175.621,31.261,,3890.4086,1060.281269,
Fragment,Blade frag L,1,1,10,4.26,4.32,0.3,,6,0.05,4.105747655,0.651768,1835.768,88.864,43.554,,2386.4984,622.8742584,
Fragment,Blade frag L,1,1,13,5.47,5.5,0.3,,6,0.05,5.044358327,1.071441,2255.441,111.858,26.34,,2932.0733,833.4161934,
Fragment,Blade frag L,1,1,14,6.07,6.13,0.3,,4,0.075,13.84601315,5.00685,6190.85,200.113,48.574,,8048.105,1418.859667,
Fragment,Blade frag L,1,1,15,6.38,6.42,0.1,,4,0.025,5.228860755,1.153936,2337.936,228.163,60.889,,3039.3168,865.9129774,
Fragment,Blade frag L,1,1,17,7.22,7.28,0.1,,6,0.016666667,23.56232319,9.351221,10535.221,586.997,282.552,,13695.7873,1557.219433,
Fragment,Blade frag L,1,1,18,8.03,8.08,0.2,,5,0.04,27.37274395,11.054942,12238.942,347.546,116.305,,15910.6246,1584.665986,
Fragment,Blade frag L,1,1,19,8.09,8.12,0.3,,3,0.1,39.17615118,16.332499,17516.499,331.126,102.964,,22771.4487,1635.801025,
Fragment,Blade frag L,1,1,20,8.2,8.26,0.1,,6,0.016666667,11.54824391,3.979468,5163.468,138.197,74.914,,6712.5084,1352.099559,
Fragment,Blade frag L,1,1,21,8.32,8.49,0.3,,17,0.017647059,71.98723587,31.00304,32187.04,494.639,183.034,,41843.152,1689.850892,
Fragment,Blade frag L,1,1,22,8.54,9.01,0.3,,7,0.042857143,5.100774761,1.096666,2280.666,178.553,65.492,,2964.8658,843.6024559,
Fragment,Blade frag L,1,1,23,9.11,9.16,0.3,,5,0.06,26.27636855,10.564729,11748.729,268.174,126.159,,15273.3477,1577.584459,
Fragment,Blade frag L,1,1,24,9.22,9.25,0.2,,3,0.066666667,7.745100817,2.279001,3463.001,259.556,68.25,,4501.9013,1154.561425,
Fragment,Blade frag L,1,1,25,9.5,10.03,0.3,,8,0.0375,32.44486431,13.322796,14506.796,234.394,94.102,,18858.8348,1611.198387,
Fragment,Blade frag L,1,1,27,10.19,10.28,0.3,,9,0.033333333,25.55250712,10.241075,11425.075,285.409,78.246,,14852.5975,1572.575956,
Fragment,Blade frag L,1,1,28,10.3,10.39,0.3,,9,0.033333333,19.20277874,7.401975,8585.975,332.977,87.898,,11161.7675,1512.457357,
Fragment,Blade frag L,1,1,29,10.34,10.4,0.1,,6,0.016666667,32.2774512,13.247942,14431.942,404.674,108.579,,18761.5246,1610.455718,
Fragment,Blade frag L,1,1,31,11.08,11.19,0.2,,11,0.018181818,59.64882639,25.486272,26670.272,379.69,124.519,,34671.3536,1676.501758,
Fragment,Blade frag L,1,1,33,11.34,11.47,0.3,,13,0.023076923,20.89035364,8.156526,9340.526,121.759,123.292,,12142.6838,1532.000953,
Fragment,Blade frag L,1,1,34,11.46,11.58,0.3,,12,0.025,9.343131821,2.993515,4177.515,122.985,61.339,,5430.7695,1257.154242,
Fragment,Blade frag L,1,1,35,12.05,12.27,0.4,,22,0.018181818,8.104871046,2.439862,3623.862,148.748,38.644,,4711.0206,1181.187266,
Fragment,Blade frag L,1,1,36,12.33,12.54,0.5,,19,0.026315789,14.31826735,5.218005,6402.005,248.731,78.514,,8322.6065,1429.926209,
Fragment,Blade frag L,1,1,37,12.47,13.07,0.5,,20,0.025,6.8908028,1.897026,3081.026,101.823,56.739,,4005.3338,1080.197243,
Fragment,Blade frag L,1,1,38,13.08,13.15,0.3,,7,0.042857143,3.291512576,0.287706,1471.706,71.154,38.337,,1913.2178,342.9675278,
Fragment,Blade frag L,1,1,39,13.25,13.33,0.3,,8,0.0375,2.894747927,,1294.304,71.767,23.922,,1682.5952,0,
Fragment,Blade frag L,1,1,40,13.42,13.52,0.1,,10,0.01,1.419815458,,634.83,41.404,29.75,,825.279,,
Fragment,Blade frag L,1,1,41,14.01,14.21,0.5,,20,0.025,65.31795451,28.021061,29205.061,368.847,159.834,,37966.5793,1683.261546,
Fragment,Blade frag L,1,1,42,14.23,14.37,0.3,,14,0.021428571,3.115546978,0.209028,1393.028,63.933,34.699,,1810.9364,263.2508388,
Fragment,Blade frag L,1,1,43,14.4,14.54,0.5,,14,0.035714286,6.044770994,1.518747,2702.747,131.146,43.169,,3513.5711,985.8371579,
Fragment,Blade frag L,1,1,44,15,15.18,0.5,,18,0.027777778,22.47430793,8.864746,10048.746,295.624,68.032,,13063.3698,1547.674303,
Fragment,Blade frag L,1,1,45,15.26,15.36,0.5,,10,0.05,24.04819114,9.568463,10752.463,395.076,77.321,,13978.2019,1561.202972,
Fragment,Blade frag L,1,1,46,15.5,16.02,0.5,,12,0.041666667,19.53857115,7.552115,8736.115,320.76,78.141,,11356.9495,1516.615173,
Fragment,Blade frag L,1,1,47,16.55,17.13,0.5,,18,0.027777778,38.87713178,16.198801,17382.801,472.671,74.862,,22597.6413,1634.888941,
Fragment,Blade frag L,1,1,48,17.18,17.21,0.3,,3,0.1,4.160017022,0.676033,1860.033,65.573,43.169,,2418.0429,637.6353576,
Fragment,Blade frag L,1,1,53,0.04,0.37,0.5,,33,0.015151515,19.57314117,7.567572,8751.572,191.083,83.758,,11377.0436,1517.035123,
Fragment,Blade frag L,1,1,54,0.44,1.09,0.3,,25,0.012,8.016215051,2.400222,3584.222,88.217,57.325,,4659.4886,1174.847928,
Fragment,Blade frag L,1,1,55,0.54,0.57,0.3,,3,0.1,9.455273602,3.043656,4227.656,138.217,52.548,,5495.9528,1263.051527,
Fragment,Blade frag L,1,1,56,1.17,1.29,0.3,,12,0.025,11.7608528,4.07453,5258.53,225.478,33.121,,6836.089,1359.371962,
Fragment,Blade frag L,1,1,57,1.24,1.32,0.2,,8,0.025,18.46526554,7.072217,8256.217,133.758,80.573,,10733.0821,1502.794591,
Fragment,Blade frag L,1,1,58,1.41,1.47,0.3,,6,0.05,5.497183802,1.273909,2457.909,141.083,33.439,,3195.2817,909.2802338,
Fragment,Blade frag L,1,1,59,1.57,2.16,0.3,,19,0.015789474,2.027701698,,906.629,68.153,34.713,,1178.6177,,
Fragment,Blade frag L,1,1,60,2.12,2.27,0.3,,15,0.02,1.400042309,,625.989,70.701,15.287,,813.7857,,
Fragment,Blade frag L,1,1,61,2.39,2.55,0.3,,16,0.01875,34.82941309,14.388979,15572.979,273.227,149.991,,20244.8727,1621.001531,
Fragment,Blade frag L,1,1,62,2.56,3.02,0.3,,6,0.05,5.341885965,1.204472,2388.472,131.884,45.673,,3105.0136,884.7115528,
Fragment,Blade frag L,1,1,63,3.12,3.26,0.3,,14,0.021428571,2.920215279,0.121691,1305.691,122.425,67.023,,1697.3983,163.5095765,
Fragment,Blade frag L,1,1,64,3.15,3.34,0.3,,19,0.015789474,5.541171847,1.293577,2477.577,268.912,40.538,,3220.8501,915.9890221,
Fragment,Blade frag L,1,1,65,3.24,3.38,0.3,,14,0.021428571,2.244280419,,1003.466,45.673,24.863,,1304.5058,,
Fragment,Blade frag L,1,1,66,3.35,3.4,0.3,,5,0.06,4.432350165,0.797799,1981.799,120.804,44.322,,2576.3387,706.2509207,
Fragment,Blade frag L,1,1,67,3.41,3.58,0.3,,17,0.017647059,5.766922572,1.394515,2578.515,82.157,55.672,,3352.0695,948.8087306,
Fragment,Blade frag L,1,1,68,3.53,4.07,0.3,,14,0.021428571,3.170795944,0.233731,1417.731,109.453,55.132,,1843.0503,289.2328559,
Fragment,Blade frag L,1,1,69,3.59,4.11,0.3,,12,0.025,6.962159246,1.928931,3112.931,150.532,54.862,,4046.8103,1087.107126,
Fragment,Blade frag L,1,1,70,4.11,4.23,0.3,,12,0.025,8.504185337,2.618404,3802.404,154.856,37.295,,4943.1252,1208.101829,
Fragment,Blade frag L,1,1,71,6.32,6.4,0.3,,8,0.0375,39.16457267,16.327322,17511.322,317.804,119.066,,22764.7186,1635.765967,
Fragment,Blade frag L,1,1,72,6.52,7,0.3,,8,0.0375,3.664851824,0.454634,1638.634,140.527,41.453,,2130.2242,486.7490292,
Fragment,Blade frag L,1,1,73,6.58,7.14,0.3,,16,0.01875,5.048522743,1.073303,2257.303,77.026,87.021,,2934.4939,834.1758813,
Fragment,Blade frag L,1,1,74,7.13,7.18,0.3,,5,0.06,7.549686366,2.191627,3375.627,195.504,46.451,,4388.3151,1139.035696,
Fragment,Blade frag L,1,1,75,7.34,7.49,0.3,,15,0.02,6.850505028,1.879008,3063.008,170.514,35.279,,3981.9104,1076.231359,
Fragment,Blade frag L,1,1,76,7.53,8.08,0.3,,15,0.02,7.987520389,2.387392,3571.392,149.935,66.148,,4642.8096,1172.765974,
Fragment,Blade frag L,1,1,77,7.54,8.07,0.3,,13,0.023076923,8.136942866,2.454202,3638.202,94.077,62.62,,4729.6626,1183.446533,
Fragment,Blade frag L,1,1,78,8.14,8.4,0.3,,36,0.008333333,5.193695815,1.138213,2322.213,149.641,42.923,,3018.8769,859.8973963,
Fragment,Blade frag L,1,1,79,8.31,8.44,0.3,,13,0.023076923,4.075623851,0.638299,1822.299,168.163,33.221,,2368.9887,614.5110144,
Fragment,Blade frag L,1,1,80,8.43,9.03,0.3,,20,0.015,9.815596253,3.204764,4388.764,143.467,47.038,,5705.3932,1281.08802,
Fragment,Blade frag L,1,1,81,9.06,9.17,0.2,,11,0.018181818,56.88278174,24.249514,25433.514,303.765,132.824,,33063.5682,1672.714475,
Fragment,Blade frag L,1,1,82,9.33,9.36,0.3,,3,0.1,8.753104262,2.729701,3913.701,187.068,67.145,,5087.8113,1223.636942,
Fragment,Blade frag L,1,1,83,9.44,9.5,0.3,,6,0.05,3.496204148,0.379228,1563.228,194.984,36.065,,2032.1964,425.6015634,
Fragment,Blade frag L,1,1,84,9.45,9.49,0.3,,5,0.06,8.864818866,2.779651,3963.651,187.068,52.191,,5152.7463,1230.32545,
Fragment,Blade frag L,1,1,85,9.54,10.04,0.3,,10,0.03,1.454011981,,650.12,124.321,75.062,,845.156,,
Fragment,Blade frag L,1,1,86,9.56,10,0.3,,4,0.075,7.811709112,2.308783,3492.783,88.549,66.559,,4540.6179,1159.675964,
Fragment,Blade frag L,1,1,87,10.04,10.07,0.3,,3,0.1,7.340239934,2.097979,3281.979,87.377,48.966,,4266.5727,1121.477289,
Fragment,Blade frag L,1,1,88,10.14,10.17,0.3,,3,0.1,6.755714236,1.836625,3020.625,81.512,48.966,,3926.8125,1066.716035,
Fragment,Blade frag L,1,1,89,10.37,10.46,0.3,,9,0.033333333,7.213144723,2.041152,3225.152,75.062,64.799,,4192.6976,1110.325473,
Fragment,Blade frag L,1,1,90,10.47,10.49,0.3,,2,0.15,7.189301091,2.030491,3214.491,95.88,65.679,,4178.8383,1108.189419,
Fragment,Blade frag L,1,1,91,11.39,11.48,0.3,,9,0.033333333,34.4639755,14.225584,15409.584,295.71,124.665,,20032.4592,1619.587194,
Fragment,Blade frag L,1,1,92,12.02,12.15,0.3,,13,0.023076923,9.305942823,2.976887,4160.887,100.268,94.906,,5409.1531,1255.167173,
Fragment,Blade frag L,1,1,93,11.58,12.05,0.3,,7,0.042857143,10.19007837,3.372203,4556.203,107.239,55.764,,5923.0639,1298.481568,
Fragment,Blade frag L,1,1,94,12.15,12.24,0.3,,9,0.033333333,9.539514688,3.081322,4265.322,112.332,55.496,,5544.9186,1267.39038,
Fragment,Blade frag L,1,1,95,12.24,12.4,0.2,,16,0.0125,6.152466556,1.5669,2750.9,143.432,61.394,,3576.17,999.2901845,
Fragment,Blade frag L,1,1,96,12.28,12.33,0.3,,5,0.06,8.124091772,2.448456,3632.456,141.823,52.279,,4722.1928,1182.543393,
Fragment,Blade frag L,1,1,97,12.4,12.53,0.3,,13,0.023076923,4.623553232,0.88329,2067.29,120.912,57.641,,2687.477,749.595644,
Fragment,Blade frag L,1,1,98,12.43,12.49,0.3,,6,0.05,1.397899714,,625.031,71.85,52.815,,812.5403,,
Fragment,Blade frag L,1,1,99,12.53,12.58,0.3,,5,0.06,2.346659753,,1049.242,48.525,43.164,,1364.0146,,
Fragment,Blade frag L,1,1,100,13.21,13.37,0.3,,16,0.01875,11.91366361,4.142855,5326.855,141.019,57.373,,6924.9115,1364.438617,
Fragment,Blade frag L,1,1,11,4.42,4.45,0.3,,3,0.1,82.17737909,35.559272,36743.272,613.679,235.688,,47766.2536,1697.853357,
pooish frags,Blade frag S,1,1,1,,,0.1,Biomass calculated from frag density,2.88,0.034722222,0.138481379,,61.918,9.268,11.515,,80.4934,,
pooish frags,Blade frag S,1,1,2,,,0.1,Biomass calculated from frag density,2.8,0.035714286,0.154577675,,69.115,14.042,7.442,,89.8495,,
pooish frags,Blade frag S,1,1,3,,,0.1,Biomass calculated from frag density,2.45,0.040816327,0.178083591,,79.625,11.936,11.796,,103.5125,,
pooish frags,Blade frag S,1,1,4,,,0.1,Biomass calculated from frag density,2.53,0.039525692,0.310302689,,138.743,13.621,14.183,,180.3659,,
pooish frags,Blade frag S,1,1,5,,,0.1,Biomass calculated from frag density,2.56,0.0390625,0.236387655,,105.694,10.532,11.515,,137.4022,,
pooish frags,Blade frag S,1,1,6,,,0.1,Biomass calculated from frag density,2.72,0.036764706,0.326707626,,146.078,12.638,17.272,,189.9014,,
pooish frags,Blade frag S,1,1,7,,,0.1,Biomass calculated from frag density,2.75,0.036363636,0.387127447,,173.093,17.553,14.745,,225.0209,,
pooish frags,Blade frag S,1,1,8,,,0.1,Biomass calculated from frag density,2.9,0.034482759,0.130454477,,58.329,9.268,10.813,,75.8277,,
pooish frags,Blade frag S,1,1,9,,,0.1,Biomass calculated from frag density,3.17,0.031545741,0.277709758,,124.17,23.591,9.268,,161.421,,
